stockX,flightClub,goat,lowestResellPrice,imageLinks,_id,shoeName,brand,silhoutte,styleID,make,colorway,retailPrice,thumbnail,releaseDate,description,urlKey,resellLinks
132,112,135,[object Object],,61ae9e9bafe8e57491298288,adidas Yeezy Slide Enflame Orange,adidas,adidas Yeezy Slide,GZ0953,adidas Yeezy Slide,Enflame Orange/Enflame Orange/Enflame Orange,60,"https://images.stockx.com/images/adidas-Yeezy-Slide-Orange-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1624455953",2021-06-21,"The Yeezy Slides 'Enflame Orange' brings a vibrant look to its signature slide construction. The shoe is built entirely with injected EVA, finished in orange and supported by an open toe on the upper for breathability. Three-Stripes appear on the footbed, offering the only exterior branding, while underfoot, the outsole sports flex grooves to provide traction and flexibility.",adidas-yeezy-slide-enflame-orange,[object Object]
240,202,202,[object Object],,61ae9e9bafe8e57491298289,Nike Dunk Low Bordeaux (W),Nike,Nike Dunk Low,DD1503-108,Nike Dunk Low,Sail/Dark Beetroot-Cashmere-Pale Ivory,100,"https://images.stockx.com/images/Nike-Dunk-Low-Bordeaux-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1634318150",,"Drawing from the shoe's original 'Be True to Your School' series from 1985 is the two-tone color schemed Nike women's Dunk Low 'Dark Beetroot.' The all-leather upper features a white base with burgundy overlays at the forefoot and heel. The rich hue registers repeat themselves on the Swoosh, mesh collar lining, and Nike-embroidered heel tab. Extra Nike branding elements decorate the sockliner and woven tongue tag. The low-top is built on a sturdy rubber cupsole with white sidewalls and a maroon rubber outsole.",nike-dunk-low-bordeaux-w,[object Object]
105,95,95,[object Object],,61ae9e9bafe8e5749129828a,Jordan 1 Mid Arctic Pink Black (GS),Jordan,Jordan 1 Mid,555112-061,Jordan 1 Mid,Black/White-Arctic Punch,90,"https://images.stockx.com/images/Air-Jordan-1-Mid-Arctic-Pink-Black-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1621454497",2021-02-01,,air-jordan-1-mid-arctic-pink-black-gs,[object Object]
281,270,284,[object Object],,61ae9e9bafe8e5749129828b,adidas Yeezy Boost 350 V2 Israfil,adidas,adidas Yeezy Boost 350 V2,FZ5421,adidas Yeezy Boost 350 V2,Israfil/Israfil/Israfil,220,"https://images.stockx.com/images/adidas-Yeezy-Boost-350-V2-Israfil-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1609432732",2020-08-22,"The Yeezy Boost 350 V2 'Israfil' emerges with a patchwork design on its Primeknit construction. Butil with a mix of tan and grey yarns, the upper is highlighted by the signature monofilament stripe through the construction. Underfoot, a full-length Boost midsole provides cushioning, wrapped in a semitranslucent rubber shell that leads into a gum rubber outsole underfoot.",adidas-yeezy-boost-350-v2-israfil,[object Object]
121,135,135,[object Object],,61ae9e9bafe8e5749129828c,Nike Dunk Low Undefeated 5 On It Dunk vs. AF1,Nike,Nike Dunk Low,DH6508-400,Nike Dunk Low,Signal Blue/White-Night Purple,120,"https://images.stockx.com/images/Nike-Dunk-Low-UNDEFEATED-Dunk-vs-AF1-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629131353",2021-08-06,"The Undefeated x Dunk Low SP '5 On It' released as part of the second installment of the Dunk vs. AF-1 series, released with the help of the Los Angeles retailer. Sporting a series of accents that marked sneaker culture in the late 90s and early 2000s, the shoe gets its name from the five materials used on the upper. Those include leather on the toe box, nubuck on the heel overlay, textile on the quarter panel, suede on the Swoosh branding and faux snakeskin on the eyestay and forefoot. Underfoot, a cream rubber midsole and purple concentric rubber outsole anchor the design.",nike-dunk-low-undefeated-dunk-vs-af1,[object Object]
191,166,166,[object Object],,61ae9e9bafe8e5749129828d,Jordan 1 Mid Chicago (2020),Jordan,Jordan 1 Mid,554724-173,Jordan 1 Mid,White/Gym Red-Black,115,"https://images.stockx.com/images/Air-Jordan-1-Mid-Chicago-2020-thumbnail.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607962412",2020-07-16,,air-jordan-1-mid-chicago-2020,[object Object]
113,116,122,[object Object],,61ae9e9bafe8e5749129828e,Nike Dunk Low Triple White (2021) (W),Nike,Nike Dunk Low,DD1503-109,Nike Dunk Low,White/White-White,100,"https://images.stockx.com/images/Nike-Dunk-Low-Triple-White-2021-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1631303124",2021-08-18,,nike-dunk-low-triple-white-2021-w,[object Object]
170,150,199,[object Object],,61ae9e9bafe8e5749129828f,Nike Dunk Low Retro Black Hyper Cobalt (2021),Nike,Nike Dunk Low,DD1391-001,Nike Dunk Low,Black/White/Hyper Cobalt,100,"https://images.stockx.com/images/Nike-Dunk-Low-Retro-Black-Hyper-Cobalt-2021-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1613671290",2021-02-18,"Featuring an OG-style colorway, the Dunk Low 'Hyper Cobalt' released in February 2021. The shoe's upper is built with leather, finished in a mix of black and Hyper Cobalt and sporting perforations on the toe box for breathability. Underfoot, the midsole contrasts the look in white, giving way to a Hyper Cobalt rubber outsole with a concentric pattern originally designed for basketball.",nike-dunk-low-retro-black-hyper-cobalt-2021,[object Object]
258,245,245,[object Object],,61ae9e9bafe8e57491298290,adidas Yeezy Boost 350 V2 Sand Taupe,adidas,adidas Yeezy Boost 350 V2,FZ5240,adidas Yeezy Boost 350 V2,Sand Taupe/Sand Taupe/Sand Taupe,220,"https://images.stockx.com/images/adidas-Yeezy-Boost-350-V2-Eliada-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1609768689",2020-12-19,"The Yeezy Boost 350 V2 'Sand Taupe' emerges with a neutral look. Built with Primeknit, the shoe's upper appears in brown and light orange, with a bound collar and no-tie laces supporting the fit. The side wall includes the signature post-dyed monofilament stripe, while underfoot, a semitranslucent rubber cage houses a full-length Boost midsole, which offers cushioning.",adidas-yeezy-boost-350-v2-sand-taupe,[object Object]
98,99,109,[object Object],,61ae9e9bafe8e57491298291,Nike Air Force 1 Indigo (W),Nike,Nike Air Force 1,CZ0269-100,Nike Air Force 1,White/Obsidian-white-Black,110,"https://images.stockx.com/images/Nike-Air-Force-1-Indigo-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1625756911",2021-06-15,,nike-air-force-1-indigo-w,[object Object]
